Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1166,23,09-04-2025 21:30,Intuit Dome,LA Clippers,Houston Rockets,134,117,LA Clippers
1167,23,10-04-2025 18:00,Little Caesars Arena,Detroit Pistons,New York Knicks,115,106,Detroit Pistons
1168,23,10-04-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,114,112,Indiana Pacers
1169,23,10-04-2025 18:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,109,133,Atlanta Hawks
1161,23,10-04-2025 19:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,136,111,Milwaukee Bucks
1170,23,10-04-2025 20:30,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,125,141,Minnesota Timberwolves
1171,23,11-04-2025 18:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,119,125,Milwaukee Bucks
1172,23,11-04-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,115,129,Orlando Magic
1173,23,11-04-2025 18:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,110,124,Atlanta Hawks
1174,23,11-04-2025 18:30,TD Garden,Boston Celtics,Charlotte Hornets,130,94,Boston Celtics
1175,23,11-04-2025 18:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,102,108,Cleveland Cavaliers
1176,23,11-04-2025 19:00,United Center,Chicago Bulls,Washington Wizards,119,89,Chicago Bulls
1177,23,11-04-2025 19:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,104,153,Miami Heat
1178,23,11-04-2025 19:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,124,102,Dallas Mavericks
1179,23,11-04-2025 20:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,117,91,Minnesota Timberwolves
1180,23,11-04-2025 20:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,117,109,Denver Nuggets
1181,23,11-04-2025 20:30,Delta Center,Utah Jazz,Oklahoma City Thunder,111,145,Oklahoma City Thunder
1182,23,11-04-2025 21:00,PHX Arena,Phoenix Suns,San Antonio Spurs,117,98,Phoenix Suns
1183,23,11-04-2025 21:00,Moda Center,Portland Trail Blazers,Golden State Warriors,86,103,Golden State Warriors
1184,23,11-04-2025 21:00,Golden 1 Center,Sacramento Kings,LA Clippers,100,101,LA Clippers
1185,23,11-04-2025 21:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,140,109,Los Angeles Lakers
1186,23,13-04-2025 12:00,State Farm Arena,Atlanta Hawks,Orlando Magic,117,105,Atlanta Hawks
1187,23,13-04-2025 12:00,TD Garden,Boston Celtics,Charlotte Hornets,93,86,Boston Celtics
1188,23,13-04-2025 12:00,Barclays Center,Brooklyn Nets,New York Knicks,105,113,New York Knicks
1189,23,13-04-2025 12:00,Rocket Arena,Cleveland Cavaliers,Indiana Pacers,118,126,Indiana Pacers
1190,23,13-04-2025 12:00,Kaseya Center,Miami Heat,Washington Wizards,118,119,Washington Wizards
