Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
57,1,30-10-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,117,95,Philadelphia 76ers,
58,1,30-10-2019 18:30,TD Garden,Boston Celtics,Milwaukee Bucks,116,105,Boston Celtics,
59,1,30-10-2019 18:30,Barclays Center,Brooklyn Nets,Indiana Pacers,108,118,Indiana Pacers,
60,1,30-10-2019 18:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,125,113,Toronto Raptors,
61,1,30-10-2019 19:00,Capital One Arena,Washington Wizards,Houston Rockets,158,159,Houston Rockets,
62,1,30-10-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,99,102,Portland Trail Blazers,
63,1,30-10-2019 21:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,110,96,Utah Jazz,
64,1,30-10-2019 21:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,111,118,Charlotte Hornets,
65,1,30-10-2019 21:30,Chase Center,Golden State Warriors,Phoenix Suns,110,121,Phoenix Suns,
66,1,31-10-2019 18:00,State Farm Arena,Atlanta Hawks,Miami Heat,97,106,Miami Heat,
67,2,31-10-2019 20:30,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,122,107,New Orleans Pelicans,
68,2,31-10-2019 21:30,Staples Center,LA Clippers,San Antonio Spurs,103,97,LA Clippers,
69,2,01-11-2019 18:00,Barclays Center,Brooklyn Nets,Houston Rockets,123,116,Brooklyn Nets,
70,2,01-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,102,95,Indiana Pacers,
71,2,01-11-2019 18:00,Amway Center,Orlando Magic,Milwaukee Bucks,91,123,Milwaukee Bucks,
72,2,01-11-2019 18:30,TD Garden,Boston Celtics,New York Knicks,104,102,Boston Celtics,
73,2,01-11-2019 19:00,United Center,Chicago Bulls,Detroit Pistons,112,106,Chicago Bulls,
74,2,01-11-2019 20:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,110,119,Los Angeles Lakers,
75,2,01-11-2019 21:00,Golden 1 Center,Sacramento Kings,Utah Jazz,102,101,Sacramento Kings,
76,2,01-11-2019 21:30,Chase Center,Golden State Warriors,San Antonio Spurs,110,127,San Antonio Spurs,
77,2,02-11-2019 16:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,115,104,Oklahoma City Thunder,
78,2,02-11-2019 18:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,113,109,Detroit Pistons,
79,2,02-11-2019 18:00,Amway Center,Orlando Magic,Denver Nuggets,87,91,Denver Nuggets,
80,2,02-11-2019 19:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,109,131,Minnesota Timberwolves,
81,2,02-11-2019 19:00,FedExForum,Memphis Grizzlies,Phoenix Suns,105,114,Phoenix Suns,
82,2,02-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,115,105,Milwaukee Bucks,
83,2,02-11-2019 19:30,Chase Center,Golden State Warriors,Charlotte Hornets,87,93,Charlotte Hornets,
84,2,02-11-2019 21:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,128,129,Philadelphia 76ers,
85,2,03-11-2019 16:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,108,95,Indiana Pacers,
86,2,03-11-2019 17:00,American Airlines Arena,Miami Heat,Houston Rockets,129,100,Miami Heat,
87,2,03-11-2019 17:00,Madison Square Garden,New York Knicks,Sacramento Kings,92,113,Sacramento Kings,
88,2,03-11-2019 18:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,96,103,Los Angeles Lakers,
89,2,03-11-2019 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Dallas Mavericks,111,131,Dallas Mavericks,
90,2,03-11-2019 20:00,Staples Center,LA Clippers,Utah Jazz,105,94,LA Clippers,
91,2,04-11-2019 18:00,Capital One Arena,Washington Wizards,Detroit Pistons,115,99,Washington Wizards,
92,2,04-11-2019 18:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,135,125,Brooklyn Nets,
93,2,04-11-2019 19:00,FedExForum,Memphis Grizzlies,Houston Rockets,100,107,Houston Rockets,
94,2,04-11-2019 19:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,106,134,Milwaukee Bucks,
