Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1065,21,19-03-2023 15:00,AT&T Center,San Antonio Spurs,Atlanta Hawks,126,118,San Antonio Spurs
1066,21,19-03-2023 17:00,Little Caesars Arena,Detroit Pistons,Miami Heat,100,112,Miami Heat
1067,21,19-03-2023 18:00,Toyota Center,Houston Rockets,New Orleans Pelicans,107,117,New Orleans Pelicans
1068,21,19-03-2023 19:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,118,111,Milwaukee Bucks
1069,21,19-03-2023 20:00,Moda Center,Portland Trail Blazers,LA Clippers,102,117,LA Clippers
1070,21,19-03-2023 20:30,Crypto.com Arena,Los Angeles Lakers,Orlando Magic,111,105,Los Angeles Lakers
1071,21,20-03-2023 18:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,115,109,Charlotte Hornets
1072,21,20-03-2023 18:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,105,109,Chicago Bulls
1073,21,20-03-2023 18:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,134,140,Minnesota Timberwolves
1074,21,20-03-2023 19:00,Toyota Center,Houston Rockets,Golden State Warriors,108,121,Golden State Warriors
1075,21,20-03-2023 19:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,112,108,Memphis Grizzlies
1076,21,20-03-2023 20:00,Vivint Arena,Utah Jazz,Sacramento Kings,128,120,Utah Jazz
1077,21,21-03-2023 18:00,Amway Center,Orlando Magic,Washington Wizards,122,112,Orlando Magic
1078,21,21-03-2023 18:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,129,107,Atlanta Hawks
1079,21,21-03-2023 18:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,109,115,Cleveland Cavaliers
1080,21,21-03-2023 19:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,119,84,New Orleans Pelicans
1081,21,21-03-2023 21:00,Golden 1 Center,Sacramento Kings,Boston Celtics,109,132,Boston Celtics
1082,21,21-03-2023 21:30,Crypto.com Arena,LA Clippers,Oklahoma City Thunder,100,101,Oklahoma City Thunder
1083,21,22-03-2023 18:00,Capital One Arena,Washington Wizards,Denver Nuggets,104,118,Denver Nuggets
1084,21,22-03-2023 18:30,Miami-Dade Arena,Miami Heat,New York Knicks,127,120,Miami Heat
