Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
26/09/2018,Roma,Frosinone,Roma,4,0
27/09/2018,Spal,Sassuolo,Sassuolo,0,2
27/09/2018,Empoli,Milan,Draw,1,1
29/09/2018,Roma,Lazio,Roma,3,1
29/09/2018,Juventus,Napoli,Juventus,3,1
29/09/2018,Inter,Cagliari,Inter,2,0
30/09/2018,Bologna,Udinese,Bologna,2,1
30/09/2018,Chievoverona,Torino,Torino,0,1
30/09/2018,Fiorentina,Atalanta,Fiorentina,2,0
30/09/2018,Frosinone,Genoa,Genoa,1,2
30/09/2018,Parma,Empoli,Parma,1,0
30/09/2018,Sassuolo,Milan,Milan,1,4
01/10/2018,Sampdoria,Spal,Sampdoria,2,1
05/10/2018,Torino,Frosinone,Torino,3,2
06/10/2018,Cagliari,Bologna,Cagliari,2,0
06/10/2018,Udinese,Juventus,Juventus,0,2
06/10/2018,Empoli,Roma,Roma,0,2
07/10/2018,Genoa,Parma,Parma,1,3
07/10/2018,Atalanta,Sampdoria,Sampdoria,0,1
07/10/2018,Lazio,Fiorentina,Lazio,1,0
07/10/2018,Milan,Chievoverona,Milan,3,1
07/10/2018,Napoli,Sassuolo,Napoli,2,0
07/10/2018,Spal,Inter,Inter,1,2
20/10/2018,Roma,Spal,Spal,0,2
20/10/2018,Juventus,Genoa,Draw,1,1
20/10/2018,Udinese,Napoli,Napoli,0,3
21/10/2018,Bologna,Torino,Draw,2,2
21/10/2018,Chievoverona,Atalanta,Atalanta,1,5
21/10/2018,Frosinone,Empoli,Draw,3,3
21/10/2018,Parma,Lazio,Lazio,0,2
21/10/2018,Fiorentina,Cagliari,Draw,1,1
21/10/2018,Inter,Milan,Inter,1,0
22/10/2018,Sampdoria,Sassuolo,Draw,0,0
27/10/2018,Atalanta,Parma,Atalanta,3,0
27/10/2018,Empoli,Juventus,Juventus,1,2
27/10/2018,Torino,Fiorentina,Draw,1,1
28/10/2018,Sassuolo,Bologna,Draw,2,2
28/10/2018,Cagliari,Chievoverona,Cagliari,2,1
28/10/2018,Genoa,Udinese,Draw,2,2
28/10/2018,Spal,Frosinone,Frosinone,0,3
28/10/2018,Milan,Sampdoria,Milan,3,2
28/10/2018,Napoli,Roma,Draw,1,1
29/10/2018,Lazio,Inter,Inter,0,3
31/10/2018,Milan,Genoa,Milan,2,1
02/11/2018,Napoli,Empoli,Napoli,5,1
03/11/2018,Inter,Genoa,Inter,5,0
03/11/2018,Fiorentina,Roma,Draw,1,1
03/11/2018,Juventus,Cagliari,Juventus,3,1
04/11/2018,Lazio,Spal,Lazio,4,1
04/11/2018,Chievoverona,Sassuolo,Sassuolo,0,2
04/11/2018,Parma,Frosinone,Draw,0,0
04/11/2018,Sampdoria,Torino,Torino,1,4
04/11/2018,Bologna,Atalanta,Atalanta,1,2
04/11/2018,Udinese,Milan,Milan,0,1
09/11/2018,Frosinone,Fiorentina,Draw,1,1
10/11/2018,Torino,Parma,Parma,1,2
10/11/2018,Spal,Cagliari,Draw,2,2
10/11/2018,Genoa,Napoli,Napoli,1,2
11/11/2018,Atalanta,Inter,Atalanta,4,1
11/11/2018,Chievoverona,Bologna,Draw,2,2
11/11/2018,Empoli,Udinese,Empoli,2,1
11/11/2018,Roma,Sampdoria,Roma,4,1
11/11/2018,Sassuolo,Lazio,Draw,1,1
11/11/2018,Milan,Juventus,Juventus,0,2
24/11/2018,Udinese,Roma,Udinese,1,0
24/11/2018,Juventus,Spal,Juventus,2,0
24/11/2018,Inter,Frosinone,Inter,3,0
25/11/2018,Parma,Sassuolo,Parma,2,1
25/11/2018,Bologna,Fiorentina,Draw,0,0
25/11/2018,Empoli,Atalanta,Empoli,3,2
25/11/2018,Napoli,Chievoverona,Draw,0,0
25/11/2018,Lazio,Milan,Draw,1,1
25/11/2018,Genoa,Sampdoria,Draw,1,1
26/11/2018,Cagliari,Torino,Draw,0,0
01/12/2018,Spal,Empoli,Draw,2,2
01/12/2018,Fiorentina,Juventus,Juventus,0,3
01/12/2018,Sampdoria,Bologna,Sampdoria,4,1
02/12/2018,Milan,Parma,Milan,2,1
02/12/2018,Frosinone,Cagliari,Draw,1,1
02/12/2018,Sassuolo,Udinese,Draw,0,0
02/12/2018,Torino,Genoa,Torino,2,1
02/12/2018,Chievoverona,Lazio,Draw,1,1
02/12/2018,Roma,Inter,Draw,2,2
