Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Home Score,Away Score
281,29,15-03-2026 16:00,Giuseppe Sinigaglia,Como,Roma,,,
282,29,15-03-2026 16:00,Giovanni Zini,Cremonese,Fiorentina,,,
283,29,15-03-2026 16:00,Giuseppe Meazza,Inter,Atalanta,,,
284,29,15-03-2026 16:00,Olimpico,Lazio,Milan,,,
285,29,15-03-2026 16:00,Diego Armando Maradona,Napoli,Lecce,,,
286,29,15-03-2026 16:00,Garibaldi,Pisa,Cagliari,,,
287,29,15-03-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Bologna,,,
288,29,15-03-2026 16:00,Olimpico Grande Torino,Torino,Parma,,,
289,29,15-03-2026 16:00,Friuli,Udinese,Juventus,,,
290,29,15-03-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Genoa,,,
291,30,22-03-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Hellas Verona,,,
292,30,22-03-2026 16:00,Renato Dall'Ara,Bologna,Lazio,,,
293,30,22-03-2026 16:00,Unipol Domus,Cagliari,Napoli,,,
294,30,22-03-2026 16:00,Giuseppe Sinigaglia,Como,Pisa,,,
295,30,22-03-2026 16:00,Artemio Franchi,Fiorentina,Inter,,,
296,30,22-03-2026 16:00,Luigi Ferraris,Genoa,Udinese,,,
297,30,22-03-2026 16:00,Juventus Stadium,Juventus,Sassuolo,,,
298,30,22-03-2026 16:00,San Siro,Milan,Torino,,,
299,30,22-03-2026 16:00,Ennio Tardini,Parma,Cremonese,,,
300,30,22-03-2026 16:00,Olimpico,Roma,Lecce,,,
301,31,04-04-2026 16:00,Giovanni Zini,Cremonese,Bologna,,,
302,31,04-04-2026 16:00,Giuseppe Meazza,Inter,Roma,,,
303,31,04-04-2026 16:00,Juventus Stadium,Juventus,Genoa,,,
304,31,04-04-2026 16:00,Olimpico,Lazio,Parma,,,
305,31,04-04-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Atalanta,,,
306,31,04-04-2026 16:00,Diego Armando Maradona,Napoli,Milan,,,
307,31,04-04-2026 16:00,Garibaldi,Pisa,Torino,,,
308,31,04-04-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Cagliari,,,
309,31,04-04-2026 16:00,Friuli,Udinese,Como,,,
310,31,04-04-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Fiorentina,,,
311,32,12-04-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Juventus,,,
312,32,12-04-2026 16:00,Renato Dall'Ara,Bologna,Lecce,,,
313,32,12-04-2026 16:00,Unipol Domus,Cagliari,Cremonese,,,
314,32,12-04-2026 16:00,Giuseppe Sinigaglia,Como,Inter,,,
315,32,12-04-2026 16:00,Artemio Franchi,Fiorentina,Lazio,,,
316,32,12-04-2026 16:00,Luigi Ferraris,Genoa,Sassuolo,,,
317,32,12-04-2026 16:00,San Siro,Milan,Udinese,,,
318,32,12-04-2026 16:00,Ennio Tardini,Parma,Napoli,,,
319,32,12-04-2026 16:00,Olimpico,Roma,Pisa,,,
320,32,12-04-2026 16:00,Olimpico Grande Torino,Torino,Hellas Verona,,,
321,33,19-04-2026 16:00,Giuseppe Meazza,Inter,Cagliari,,,
322,33,19-04-2026 16:00,Juventus Stadium,Juventus,Bologna,,,
323,33,19-04-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Fiorentina,,,
324,33,19-04-2026 16:00,Diego Armando Maradona,Napoli,Lazio,,,
325,33,19-04-2026 16:00,Garibaldi,Pisa,Genoa,,,
326,33,19-04-2026 16:00,Olimpico,Roma,Atalanta,,,
327,33,19-04-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Como,,,
328,33,19-04-2026 16:00,Friuli,Udinese,Parma,,,
329,33,19-04-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Milan,,,
330,33,19-04-2026 16:00,Giovanni Zini,Cremonese,Torino,,,
331,34,26-04-2026 16:00,Renato Dall'Ara,Bologna,Roma,,,
332,34,26-04-2026 16:00,Unipol Domus,Cagliari,Atalanta,,,
333,34,26-04-2026 16:00,Artemio Franchi,Fiorentina,Sassuolo,,,
334,34,26-04-2026 16:00,Luigi Ferraris,Genoa,Como,,,
335,34,26-04-2026 16:00,Olimpico,Lazio,Udinese,,,
336,34,26-04-2026 16:00,San Siro,Milan,Juventus,,,
337,34,26-04-2026 16:00,Diego Armando Maradona,Napoli,Cremonese,,,
338,34,26-04-2026 16:00,Ennio Tardini,Parma,Pisa,,,
339,34,26-04-2026 16:00,Olimpico Grande Torino,Torino,Inter,,,
340,34,26-04-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Lecce,,,
341,35,03-05-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Genoa,,,
342,35,03-05-2026 16:00,Renato Dall'Ara,Bologna,Cagliari,,,
343,35,03-05-2026 16:00,Giuseppe Sinigaglia,Como,Napoli,,,
344,35,03-05-2026 16:00,Giovanni Zini,Cremonese,Lazio,,,
345,35,03-05-2026 16:00,Giuseppe Meazza,Inter,Parma,,,
346,35,03-05-2026 16:00,Juventus Stadium,Juventus,Hellas Verona,,,
347,35,03-05-2026 16:00,Garibaldi,Pisa,Lecce,,,
348,35,03-05-2026 16:00,Olimpico,Roma,Fiorentina,,,
349,35,03-05-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Milan,,,
350,35,03-05-2026 16:00,Friuli,Udinese,Torino,,,
351,36,10-05-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Como,,,
352,36,10-05-2026 16:00,Unipol Domus,Cagliari,Udinese,,,
353,36,10-05-2026 16:00,Giovanni Zini,Cremonese,Pisa,,,
354,36,10-05-2026 16:00,Artemio Franchi,Fiorentina,Genoa,,,
355,36,10-05-2026 16:00,Olimpico,Lazio,Inter,,,
356,36,10-05-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Juventus,,,
357,36,10-05-2026 16:00,San Siro,Milan,Atalanta,,,
358,36,10-05-2026 16:00,Diego Armando Maradona,Napoli,Bologna,,,
359,36,10-05-2026 16:00,Ennio Tardini,Parma,Roma,,,
360,36,10-05-2026 16:00,Olimpico Grande Torino,Torino,Sassuolo,,,
361,37,17-05-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Bologna,,,
362,37,17-05-2026 16:00,Unipol Domus,Cagliari,Torino,,,
363,37,17-05-2026 16:00,Giuseppe Sinigaglia,Como,Parma,,,
364,37,17-05-2026 16:00,Luigi Ferraris,Genoa,Milan,,,
365,37,17-05-2026 16:00,Giuseppe Meazza,Inter,Hellas Verona,,,
366,37,17-05-2026 16:00,Juventus Stadium,Juventus,Fiorentina,,,
367,37,17-05-2026 16:00,Garibaldi,Pisa,Napoli,,,
368,37,17-05-2026 16:00,Olimpico,Roma,Lazio,,,
369,37,17-05-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Lecce,,,
370,37,17-05-2026 16:00,Friuli,Udinese,Cremonese,,,
371,38,24-05-2026 16:00,Renato Dall'Ara,Bologna,Inter,,,
372,38,24-05-2026 16:00,Giovanni Zini,Cremonese,Como,,,
373,38,24-05-2026 16:00,Artemio Franchi,Fiorentina,Atalanta,,,
374,38,24-05-2026 16:00,Olimpico,Lazio,Pisa,,,
375,38,24-05-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Genoa,,,
376,38,24-05-2026 16:00,San Siro,Milan,Cagliari,,,
377,38,24-05-2026 16:00,Diego Armando Maradona,Napoli,Udinese,,,
378,38,24-05-2026 16:00,Ennio Tardini,Parma,Sassuolo,,,
379,38,24-05-2026 16:00,Olimpico Grande Torino,Torino,Juventus,,,
380,38,24-05-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Roma,,,
